Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
395	36	30	3
396	3	13	3
397	35	29	3
398	16	7	3
399	3	11	3
400	3	13	3
401	8	14	3
402	16	8	3
403	24	34	3
404	21	13	3
405	9	17	3
406	7	34	3
407	7	13	3
408	45	53	35
409	36	29	3
410	15	7	3
411	16	8	3
412	7	14	3
413	63	59	3
414	3	13	3
415	25	35	3
416	16	8	3
417	7	13	3
418	14	7	3
419	34	26	14
420	32	25	3
421	7	14	3
422	15	7	3
423	23	15	3
424	14	7	3
425	13	3	3
426	38	28	18
427	3	13	3
428	8	16	3
429	52	60	3
430	73	7	3
431	21	29	9
432	29	35	3
433	7	16	3
434	8	16	3
435	9	19	3
436	7	33	3
437	32	42	22
438	7	15	3
439	3	13	3
440	14	7	3
441	19	27	7
442	33	23	3
443	15	7	3
444	15	7	3
445	7	16	3
446	16	8	3
447	26	36	3
448	21	11	3
449	52	60	3
450	66	8	3
451	7	13	3
452	16	7	3
453	8	16	3
454	8	14	3
455	63	55	3
456	23	13	3
457	29	19	9
458	8	14	3
459	15	7	3
460	34	28	3
461	59	51	39
462	8	16	3
463	13	3	3
464	9	18	3
465	61	53	3
466	31	3	3
467	7	13	3
468	8	16	3
469	14	7	3
470	53	63	43
471	13	7	3
472	14	7	3
473	3	13	3
474	56	7	3
475	3	54	3
476	8	14	3
477	10	20	3
478	13	3	3
479	20	30	10
480	25	33	3
481	7	31	3
482	56	48	3
483	3	54	3
484	31	23	11
485	64	56	44
486	16	8	3
487	8	14	3
488	13	7	3
489	63	3	3
490	7	15	3
491	32	7	3
492	7	18	3
493	16	7	3
494	45	53	33
495	3	31	3
496	7	14	3
497	58	8	3
498	18	28	8
499	58	8	3
500	22	12	3
501	8	14	3
502	34	8	3
503	31	3	3
504	31	3	3
505	8	16	3
506	3	13	3
507	7	15	3
508	13	7	3
509	26	34	14
510	13	3	3
511	8	14	3
512	13	3	3
513	7	15	3
514	3	13	3
515	17	7	3
516	8	16	3
517	14	7	3
518	13	3	3
519	51	43	31
520	8	14	3
521	53	59	3
522	7	13	3
523	53	63	43
524	3	13	3
525	13	3	3
526	9	17	3
527	7	15	3
528	13	3	3
529	9	19	3
530	8	14	3
531	8	14	3
532	3	13	3
533	3	13	3
534	52	42	32
535	14	7	3
536	53	43	33
537	7	17	3
538	7	14	3
539	3	13	3
540	3	13	3
541	16	8	3
542	42	34	22
543	15	7	3
544	32	7	3
545	51	61	41
546	13	3	3
547	15	25	5
548	11	19	3
549	13	3	3
550	3	55	3
551	32	22	12
552	23	33	3
553	7	15	3
554	7	16	3
555	13	3	3
556	16	8	3
557	8	34	3
558	16	8	3
559	8	14	3
560	24	14	4
561	16	8	3
562	14	8	3
563	33	25	3
564	13	3	3
565	22	32	12
566	19	9	3
567	56	46	3
568	7	18	3
569	14	8	3
570	8	14	3
571	24	16	4
572	13	3	3
573	31	21	11
574	15	25	5
575	8	16	3
576	15	7	3
577	3	13	3
578	7	15	3
579	13	23	3
580	15	7	3
581	11	3	3
582	24	32	14
583	7	15	3
584	13	7	3
585	33	7	3
586	16	8	3
587	56	8	3
588	7	14	3
589	8	14	3
590	14	8	3
591	32	3	3
592	13	3	3
593	42	50	30
594	3	13	3
595	39	49	29
596	15	7	3
597	3	31	3
598	32	22	12
599	7	14	3
600	33	23	3
601	13	7	3
602	7	16	3
603	16	8	3
604	8	32	3
605	3	12	3
606	3	13	3
607	15	7	3
608	27	17	7
609	15	7	3
610	13	3	3
611	34	42	24
612	15	7	3
613	33	25	3
614	58	49	3
615	21	13	3
616	28	36	16
617	13	3	3
618	3	13	3
619	14	8	3
620	67	3	3
621	13	3	3
622	54	64	44
623	15	7	3
624	34	25	3
625	14	8	3
626	13	3	3
627	20	30	10
628	26	36	16
629	3	61	3
630	24	14	4
631	17	9	3
632	17	7	3
633	16	7	3
634	3	13	3
635	13	3	3
636	15	7	3
637	17	9	3
638	8	14	3
639	13	21	3
640	8	16	3
641	8	14	3
642	19	9	3
643	30	34	3
644	8	16	3
645	42	50	30
646	3	13	3
647	16	8	3
648	32	22	12
649	7	16	3
650	29	21	9
651	40	32	20
652	23	33	3
653	7	16	3
654	13	23	3
655	7	13	3
656	14	7	3
657	14	7	3
658	19	29	9
659	30	34	3
660	8	14	3
661	8	14	3
662	13	3	3
663	13	3	3
664	47	55	37
665	3	31	3
666	19	29	9
667	33	7	3
668	13	23	3
669	8	16	3
670	33	7	3
671	41	49	31
672	13	3	3
673	13	3	3
674	30	7	3
675	7	13	3
676	13	3	3
677	16	7	3
678	8	14	3
679	8	16	3
680	14	8	3
681	8	16	3
682	13	3	3
683	7	15	3
684	16	26	6
685	35	29	3
686	7	14	3
687	7	15	3
688	13	3	3
689	14	7	3
690	14	8	3
691	53	63	43
692	17	7	3
693	14	8	3
694	32	23	3
695	13	3	3
696	8	16	3
697	49	41	29
698	53	60	3
699	29	19	9
700	13	3	3
701	28	20	8
702	3	13	3
703	38	28	18
704	8	34	3
705	7	16	3
706	8	16	3
707	15	7	3
708	13	3	3
709	7	13	3
710	23	33	13
711	19	29	9
712	31	21	11
713	20	11	3
714	49	58	3
715	27	37	17
716	23	13	3
717	27	32	3
718	34	24	3
719	26	32	3
720	3	13	3
721	8	14	3
722	31	27	3
723	27	31	3
724	15	25	5
725	23	15	5
726	3	11	3
727	20	30	10
728	66	8	3
729	3	13	3
730	26	36	16
731	38	28	18
732	7	32	3
733	13	3	3
734	14	8	3
735	8	16	3
736	15	7	3
737	11	21	3
738	14	8	3
739	13	3	3
740	7	14	3
741	40	30	20
742	19	11	3
743	14	8	3
744	59	65	3
745	3	13	3
746	13	7	3
747	11	20	3
748	10	20	3
749	16	8	3
750	8	14	3
751	7	15	3
752	29	33	3
753	36	31	3
754	8	32	3
755	13	3	3
756	16	8	3
757	3	11	3
758	14	8	3
759	25	15	5
760	50	60	3
761	19	29	9
762	8	16	3
763	21	29	9
764	3	11	3
765	13	3	3
766	32	7	3
767	7	16	3
768	36	26	3
769	33	7	3
770	7	13	3
771	13	3	3
772	16	7	3
773	10	18	3
774	3	13	3
775	33	27	3
776	35	25	3
777	13	3	3
778	17	9	3
779	8	14	3
780	43	51	31
781	29	19	9
782	16	8	3
783	13	3	3
784	11	21	3
785	19	9	3
786	3	13	3
787	49	39	29
788	111	49	3
789	23	32	3
790	56	8	3
791	35	45	25
792	8	14	3
793	18	28	8
794	13	3	3
795	13	3	3
796	3	13	3
797	18	10	3
798	3	13	3
799	17	27	7
800	7	14	3
801	3	13	3
802	7	13	3
803	56	51	3
804	3	31	3
805	3	13	3
806	16	8	3
807	35	43	23
808	3	13	3
809	11	3	3
810	18	7	3
811	14	8	3
812	7	15	3
813	15	25	5
814	3	13	3
815	13	3	3
816	42	34	24
817	8	16	3
818	7	15	3
819	16	7	3
820	29	21	9
821	40	31	20
822	32	22	12
823	13	7	3
824	7	15	3
825	8	34	3
826	16	7	3
827	31	3	3
828	8	16	3
829	11	19	3
830	8	16	3
831	3	13	3
832	8	16	3
833	7	13	3
834	34	30	3
835	17	9	3
836	7	13	3
837	13	3	3
838	29	36	3
839	31	3	3
840	25	17	5
841	11	19	3
842	8	16	3
843	14	8	3
844	28	38	18
845	13	3	3
846	15	7	3
847	66	60	3
848	16	8	3
849	37	45	25
850	14	8	3
851	34	28	3
852	51	59	39
853	14	7	3
854	32	23	3
855	13	22	3
856	23	13	3
857	38	28	18
858	24	32	12
859	9	17	3
860	20	12	3
861	28	18	8
862	14	7	3
863	39	49	29
864	8	14	3
865	51	43	31
866	13	3	3
867	41	51	31
868	55	47	35
869	16	8	3
870	36	26	3
871	8	16	3
872	30	36	3
873	14	8	3
874	44	34	24
875	16	8	3
876	3	13	3
877	21	13	3
878	41	51	31
879	3	13	3
880	67	3	3
881	61	51	41
882	36	26	3
883	19	9	3
884	13	23	3
885	14	8	3
886	32	8	3
887	16	7	3
888	3	13	3
889	26	16	6
890	13	3	3
891	3	13	3
892	19	29	9
893	15	7	3
894	3	13	3
895	15	7	3
896	16	7	3
897	8	16	3
898	13	3	3
899	7	15	3
900	7	14	3
901	11	21	3
902	13	3	3
903	34	7	3
904	29	39	19
905	49	57	37
906	15	25	5
907	38	10	3
908	3	31	3
909	21	13	3
910	37	47	27
911	15	7	3
912	16	26	6
913	23	13	3
914	7	15	3
915	15	7	3
916	66	8	3
917	3	13	3
918	13	7	3
919	8	14	3
920	37	47	27
921	27	17	7
922	7	15	3
923	7	15	3
924	8	14	3
925	11	21	3
926	67	3	3
927	60	66	3
928	13	3	3
929	7	16	3
930	24	34	3
931	27	19	7
932	14	24	4
933	34	24	14
934	15	7	3
935	17	9	3
936	18	8	3
937	25	17	5
938	7	15	3
939	14	8	3
940	56	7	3
941	3	13	3
942	33	7	3
943	46	37	26
944	16	7	3
945	14	8	3
946	52	56	3
947	13	3	3
948	53	63	3
949	16	7	3
950	7	32	3
951	29	21	9
952	7	31	3
953	12	20	3
954	13	3	3
955	15	25	5
956	8	16	3
957	54	62	42
958	25	17	5
959	3	13	3
960	32	8	3
961	15	7	3
962	50	60	40
963	23	15	3
964	34	24	3
965	13	3	3
966	14	8	3
967	13	7	3
968	13	3	3
969	8	14	3
970	14	7	3
971	31	3	3
972	13	3	3
973	7	15	3
974	24	32	3
975	32	7	3
976	8	16	3
977	7	63	3
978	31	21	11
979	13	7	3
980	3	13	3
981	17	9	3
982	13	7	3
983	33	7	3
984	63	7	3
985	29	35	3
986	29	19	9
987	13	23	3
988	7	13	3
989	19	9	3
990	8	16	3
991	11	21	3
992	13	3	3
993	13	21	3
994	17	27	7
995	16	8	3
996	13	3	3
997	14	7	3
998	30	22	10
999	39	49	29
