Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
367	984	518	25
368	728	260	808
369	145	724	1279
370	116	695	1251
371	100	683	1234
372	181	757	261
373	44	623	1179
374	880	412	2012
375	811	345	889
376	509	43	1645
377	193	771	1324
378	612	144	1746
379	888	422	2022
380	557	91	1689
381	395	973	1528
382	491	25	571
383	720	252	1852
384	444	1022	1577
385	20	598	1153
386	632	164	1762
387	494	26	572
388	736	268	2912
389	141	719	219
390	41	620	2218
391	843	455	923
392	163	88	242
393	423	1003	502
394	739	271	817
395	279	857	357
396	749	282	1879
397	217	795	302
398	279	857	357
399	805	340	1938
400	963	497	4
401	1008	544	50
402	966	500	1046
403	256	837	1393
404	320	900	1453
405	8	587	1141
406	111	689	191
407	941	473	3
408	788	321	868
409	633	166	1765
410	128	710	206
411	904	438	983
412	185	764	1318
413	55	634	1188
414	1022	556	2156
415	967	499	9
416	780	312	1914
417	742	275	820
418	353	932	2531
419	539	72	1671
420	968	502	11
421	898	432	3
422	138	718	217
423	722	256	800
424	243	821	321
425	161	740	1294
426	578	112	1712
427	158	735	1290
428	250	830	330
429	692	226	1826
430	1028	559	1106
431	351	929	431
432	809	343	1946
433	209	787	287
434	581	113	1713
435	687	220	1820
436	539	75	617
437	363	937	441
438	790	324	868
439	531	63	1663
440	792	326	1926
441	548	81	1679
442	896	430	2030
443	408	984	488
444	614	146	1744
445	282	861	1415
446	505	39	1639
447	829	364	1961
448	572	106	652
449	314	894	392
450	58	636	1191
451	706	238	784
452	955	488	3
453	170	749	1303
454	516	48	3738
455	617	151	1751
456	271	850	1405
457	243	823	1375
458	602	138	1732
459	315	893	393
460	940	474	2074
461	9	589	89
462	61	639	139
463	133	711	1266
464	37	616	1172
465	702	238	1834
466	84	664	164
467	690	222	768
468	636	168	1768
469	178	871	1493
470	1033	567	74
471	93	670	1226
472	408	988	494
473	801	335	879
474	644	178	724
475	907	441	3
476	346	925	426
477	604	138	682
478	520	143	600
