Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
369	266	815	2426
370	378	930	454
371	232	830	360
372	677	187	1764
373	370	928	446
374	647	114	2822
375	976	480	3
376	436	990	511
377	28	576	3274
378	82	634	160
379	797	307	873
380	717	187	2882
381	339	896	416
382	936	457	5194
383	691	206	2856
384	40	598	116
385	455	1007	4710
386	208	763	285
387	674	196	749
388	48	600	124
389	99	652	174
390	682	202	1832
391	728	247	1897
392	888	407	2044
393	560	73	635
394	846	365	3021
395	397	947	473
396	406	890	468
397	919	431	995
398	610	132	742
399	602	123	3842
400	503	24	580
401	940	443	3
402	897	423	973
403	836	353	914
404	301	855	377
405	209	761	2383
406	916	440	2061
407	65	620	142
408	163	716	238
409	874	338	4057
410	436	988	512
411	117	673	195
412	74	625	1177
413	708	228	2876
414	499	22	3737
415	85	653	1260
416	1065	589	121
417	1058	576	2173
418	366	967	501
419	884	403	3
420	534	44	2705
421	805	320	880
422	314	866	389
423	346	896	422
424	724	244	799
425	277	827	4548
426	818	339	4017
427	584	104	3782
428	561	82	639
429	1005	526	2098
430	93	648	1208
431	337	942	476
432	900	421	3
433	209	735	287
434	488	1044	566
435	160	710	236
436	185	778	1357
437	824	344	2985
438	653	155	1800
439	818	322	4003
440	53	609	131
441	264	819	341
442	322	927	1920
443	746	271	820
444	445	1001	523
445	153	758	4472
446	792	312	922
447	848	369	924
448	443	990	2617
449	241	790	2420
450	95	647	171
451	1018	537	60
452	417	973	495
453	322	921	2529
454	295	847	371
455	535	52	611
456	317	873	393
457	241	791	4514
458	659	179	7044
459	936	451	2079
460	588	108	720
461	859	383	935
462	275	874	4530
463	117	785	193
464	986	702	29
465	584	52	660
466	413	1013	2634
467	827	349	1918
468	782	284	860
469	39	591	114
470	811	326	888
471	192	743	2784
472	331	930	463
473	395	950	472
474	770	290	4003
475	470	1025	545
476	357	915	435
477	500	1047	2677
478	408	965	485
479	322	874	1444
480	84	636	3272
481	391	943	469
482	450	1006	4720
483	582	103	660
484	578	100	653
485	735	248	811
486	183	734	6549
487	427	978	5713
488	801	316	2972
489	970	485	1046
490	61	658	192
491	313	916	1468
492	451	1007	528
493	1035	555	72
494	423	973	499
495	1042	420	3
496	111	720	253
497	589	101	1738
498	271	825	347
499	78	685	4350
500	606	121	1753
501	565	85	640
502	969	488	3138
503	153	758	2364
504	984	503	24
505	985	506	1116
506	578	100	1683
507	908	432	3
508	807	275	883
509	535	56	3731
510	423	978	500
511	934	459	2081
512	743	264	1871
513	522	35	600
514	438	993	513
515	515	39	590
516	779	300	915
517	724	185	2886
518	915	436	3
519	692	205	2906
520	677	198	2850
521	885	406	963
522	245	793	2409
523	1022	443	1035
524	402	1004	3634
525	597	117	1693
526	143	893	1342
527	569	89	2734
528	741	256	817
529	889	413	1020
530	365	917	3553
531	619	142	697
532	123	721	3351
533	900	421	4097
534	951	471	5
535	63	619	139
536	571	92	647
537	886	404	961
538	895	408	972
539	509	33	584
540	305	852	9808
541	662	183	738
542	860	382	937
543	18	574	94
544	1069	588	121
545	265	866	2491
546	308	857	2473
547	831	351	965
548	566	91	695
549	982	501	21
550	912	376	3090
551	841	362	917
552	1012	536	61
553	554	116	4870
554	986	500	31
555	966	489	2060
556	305	965	380
557	483	1038	560
558	620	123	1716
559	519	38	4788
560	987	508	4234
561	101	653	1208
562	913	434	7235
563	138	690	2312
564	542	7	3724
565	628	153	704
566	790	279	3967
567	759	278	1914
568	1041	556	86
569	905	428	3
570	337	932	3557
571	99	651	174
572	861	382	994
573	709	232	1839
574	418	973	495
575	574	93	2747
576	688	209	1835
577	795	316	1935
578	340	893	3523
579	194	749	271
580	383	942	460
581	52	602	128
582	22	623	2246
583	846	370	3052
584	374	928	450
585	756	277	4982
586	389	988	8846
587	265	823	341
588	401	977	3669
589	696	221	834
590	1002	523	2096
591	166	717	3355
592	1010	531	57
593	324	876	401
594	615	138	755
595	185	788	320
596	76	632	152
597	151	753	2359
598	991	512	33
599	852	356	3010
600	74	671	2294
601	823	338	901
602	427	1029	559
603	878	273	893
604	971	492	12
605	769	278	1904
606	823	344	903
607	163	754	240
608	747	267	879
609	803	327	882
610	129	681	1234
611	193	748	269
612	288	893	423
613	511	28	586
614	871	392	948
615	796	316	873
616	977	500	2071
617	476	1026	4721
618	63	613	2238
619	707	228	783
620	833	322	2998
621	417	973	495
622	527	48	605
623	286	837	363
624	411	963	489
625	170	721	3427
626	947	468	3106
627	366	922	442
628	33	633	2254
629	814	335	890
630	920	500	997
631	350	908	428
632	74	627	2248
633	702	226	777
634	140	690	216
635	322	874	1443
636	860	362	2007
637	706	252	783
638	823	338	901
639	1029	550	70
640	329	882	1455
641	316	863	1421
642	252	807	4539
643	495	8	1586
644	748	263	1893
645	831	353	1980
646	902	417	980
647	257	810	332
648	943	466	3110
649	555	76	631
650	713	236	1853
651	820	343	953
652	546	69	1678
653	664	189	740
654	449	1052	2655
655	847	369	922
656	544	65	620
657	505	28	2663
658	610	132	686
659	354	955	487
660	191	746	268
661	277	831	352
662	372	973	507
663	181	736	258
664	801	322	2959
665	486	9	564
666	510	33	586
667	119	673	195
668	176	721	3396
669	683	205	760
670	535	37	611
671	970	490	13
672	128	682	204
673	612	127	1757
674	235	789	311
675	1001	514	3161
676	378	930	454
677	39	591	1144
678	769	289	1918
679	982	500	3143
680	433	986	508
681	1043	567	2189
682	654	175	2823
683	631	151	706
684	25	574	2207
685	904	428	979
686	276	832	352
687	367	967	499
688	367	969	503
689	610	125	2833
690	863	385	2009
691	605	63	680
692	20	840	97
693	39	590	1142
694	806	327	943
695	357	909	433
696	243	799	321
697	1009	529	50
698	175	731	251
699	44	193	3858
700	482	6	3708
701	88	642	163
702	934	449	3090
703	192	743	3378
704	11	558	3193
705	665	185	1817
706	408	962	484
707	703	216	3937
708	1033	553	74
709	322	916	3567
710	812	337	890
711	168	723	245
712	299	851	1404
713	129	726	259
714	373	925	448
715	629	151	706
716	597	119	1755
717	548	69	624
718	839	355	914
719	786	308	863
720	884	399	3041
721	382	933	457
722	818	341	894
723	570	91	646
724	996	509	1072
725	503	22	578
726	12	610	2233
727	815	335	3207
728	425	1026	1592
729	874	398	951
730	672	190	810
731	773	294	2947
732	254	853	1408
733	936	457	3
734	835	337	2994
735	432	1040	574
736	413	967	489
737	892	362	3053
738	586	110	1729
739	43	589	173
740	206	805	2426
741	104	662	180
742	951	474	3111
743	480	1030	3662
744	931	449	3107
745	224	821	2443
746	860	380	935
747	988	509	29
748	83	637	159
749	892	417	3
750	78	630	154
751	153	705	2315
752	185	741	262
753	662	183	798
754	1080	601	135
755	340	893	2518
756	623	148	699
757	155	709	231
758	520	33	597
759	616	137	693
760	939	462	3
761	93	649	169
762	556	58	4841
763	760	285	836
764	724	194	799
765	430	981	4704
766	540	53	2696
767	22	574	2205
768	255	802	2417
769	880	399	956
770	260	857	391
