Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
395	65	7	3
396	50	44	3
397	58	7	3
398	21	11	3
399	3	34	3
400	17	7	3
401	13	3	3
402	56	66	25
403	13	23	3
404	15	25	5
405	41	47	3
406	7	15	3
407	7	52	3
408	69	9	3
409	64	54	46
410	77	65	37
411	7	18	3
412	50	219	3
413	41	50	3
414	43	35	3
415	3	13	3
416	16	8	3
417	31	21	13
418	36	7	3
419	37	313	29
420	14	8	3
421	16	26	8
422	3	48	3
423	51	37	43
424	3	48	3
425	7	15	3
426	46	36	3
427	25	15	7
428	82	92	3
429	42	36	26
430	8	23	3
431	99	105	3
432	7	15	3
433	57	47	18
434	7	15	3
435	39	15	3
436	17	27	7
437	13	3	3
438	52	46	3
439	32	40	22
440	15	7	3
441	80	17	7
442	17	27	3
443	43	35	3
444	49	39	3
445	9	19	3
446	13	3	3
447	39	43	3
448	105	39	31
449	26	36	3
450	36	8	3
451	5	13	19
452	60	70	32
453	26	44	16
454	32	22	3
455	7	21	13
456	79	89	3
457	7	15	3
458	13	3	3
459	7	13	3
460	45	51	3
461	30	20	10
462	8	75	3
463	40	32	3
464	46	52	3
465	104	44	3
466	7	38	3
467	49	43	3
468	33	43	3
469	16	8	3
470	36	26	3
471	7	15	3
472	37	27	3
473	15	7	3
474	13	3	3
475	13	3	3
476	8	132	3
477	3	13	3
478	3	52	3
479	74	64	35
480	174	7	3
481	27	37	3
482	96	7	3
483	13	23	3
484	7	28	3
485	41	31	3
486	3	13	3
487	36	7	3
488	31	39	3
489	44	34	3
490	30	40	22
491	67	3	3
492	43	36	3
493	16	7	3
494	3	36	3
495	61	3	3
496	22	28	3
497	15	7	3
498	28	38	20
499	47	41	3
500	7	15	3
501	3	13	3
502	14	8	3
503	18	28	10
504	11	19	3
505	27	17	7
506	17	25	7
507	14	8	3
508	3	13	3
509	3	48	3
510	12	37	3
511	14	7	3
512	15	7	3
513	28	94	18
514	43	36	3
515	64	74	35
516	8	16	3
517	13	23	5
518	52	46	3
519	8	51	3
520	38	48	7
521	39	29	3
522	97	91	3
523	103	43	3
524	7	61	3
525	49	7	3
526	25	15	5
527	98	32	22
528	37	7	3
529	29	14	20
530	14	8	3
531	33	43	3
532	14	8	3
533	14	8	3
534	50	56	3
535	6	21	11
536	99	85	3
537	39	104	29
538	53	65	24
539	39	49	3
540	50	67	3
541	48	3	3
542	8	49	3
543	20	3	3
544	15	7	3
545	13	23	3
546	47	42	3
547	7	50	3
548	28	38	3
549	34	25	3
550	45	35	7
551	5	13	19
552	29	19	11
553	29	19	10
554	7	23	3
555	48	3	3
556	3	48	3
557	13	3	3
558	13	3	3
559	59	68	49
560	23	83	13
561	39	31	3
562	78	88	3
563	28	18	3
564	25	3	3
565	15	25	7
566	28	38	3
567	27	37	3
568	7	15	3
569	12	22	28
570	44	26	3
571	39	45	3
572	50	7	3
573	7	17	3
574	13	3	3
575	7	15	3
576	44	52	3
577	36	26	3
578	171	8	3
579	17	7	23
580	55	121	3
581	3	48	3
582	37	27	3
583	13	3	3
584	7	15	3
585	16	26	3
586	47	43	3
587	32	22	3
588	19	29	3
589	39	29	3
590	52	7	3
591	5	21	11
592	3	35	3
593	29	21	11
594	46	42	3
595	61	49	18
596	38	44	3
597	15	7	3
598	43	36	3
599	3	13	3
600	7	15	3
601	65	7	3
602	8	85	3
603	3	21	3
604	31	21	11
605	37	7	3
606	7	103	3
607	26	32	3
608	39	23	29
609	30	40	3
610	3	14	3
611	127	65	3
612	7	16	3
613	44	54	3
614	95	86	3
615	15	7	3
616	43	53	12
617	50	7	3
618	44	13	5
619	3	13	3
620	50	152	3
621	14	8	3
622	38	28	3
623	26	34	3
624	24	14	6
625	10	178	3
626	13	3	3
627	146	44	3
628	43	51	3
629	12	22	3
630	8	49	3
631	13	7	3
632	18	30	3
633	33	23	3
634	16	8	3
635	37	3	3
636	26	36	3
637	15	25	7
638	19	27	9
639	45	37	3
640	7	148	3
641	47	55	17
642	41	47	3
643	18	9	3
644	62	57	3
645	19	29	11
646	70	37	29
647	28	3	3
648	29	21	11
649	53	36	26
650	48	58	3
651	50	7	3
652	50	7	3
653	29	19	3
654	7	71	3
655	7	16	3
656	45	55	15
657	7	52	3
658	36	7	3
659	3	13	3
660	48	42	3
661	74	57	64
662	31	41	3
663	20	8	3
664	7	17	3
665	17	7	3
666	48	42	3
667	33	43	3
668	28	7	3
669	125	7	3
670	41	36	3
671	8	14	3
672	9	33	3
673	46	50	3
674	56	7	3
675	3	13	3
676	3	127	3
677	31	41	3
678	43	19	3
679	32	22	14
680	28	22	3
681	79	48	3
682	23	15	5
683	14	24	3
684	173	8	3
685	32	42	3
686	7	15	3
687	31	41	3
688	45	41	3
689	30	20	12
690	32	7	3
691	39	45	3
692	25	17	7
693	59	69	3
694	8	38	3
695	19	11	3
696	13	23	5
697	15	29	21
698	21	38	11
699	7	50	3
700	7	13	3
701	3	117	3
702	3	13	3
703	39	49	31
704	13	3	3
705	132	30	22
706	20	30	12
707	25	15	3
708	7	14	3
709	13	3	3
710	90	80	3
711	193	39	3
712	30	20	12
713	21	31	11
714	8	51	3
715	50	7	3
716	15	7	3
717	25	35	3
718	13	3	3
719	6	14	21
720	7	15	3
721	107	101	3
722	37	43	3
723	8	16	3
724	31	21	13
725	42	24	16
726	8	14	3
727	8	14	3
728	77	67	39
729	16	26	3
730	70	60	31
731	18	9	3
732	44	48	3
733	16	8	3
734	55	43	14
735	8	18	3
736	44	50	3
737	34	41	3
738	41	35	3
739	27	41	33
740	7	36	3
741	48	42	3
742	29	19	3
743	50	19	9
744	36	3	3
745	60	68	50
746	40	48	3
747	17	7	3
748	23	32	3
749	41	47	3
750	63	69	3
751	3	34	3
752	13	3	3
753	33	43	3
754	94	30	22
755	21	11	3
756	45	35	3
757	53	46	3
758	3	13	3
759	39	43	3
760	42	52	3
761	13	23	3
762	25	15	5
763	47	57	3
764	42	8	3
765	27	17	9
766	46	50	3
767	53	43	12
768	52	46	3
769	30	20	10
770	27	3	3
771	7	14	3
772	52	58	3
773	37	43	3
774	42	49	3
775	27	17	9
776	62	8	3
777	49	39	11
778	13	7	3
779	50	60	3
780	7	50	3
781	101	35	27
782	13	3	3
783	11	144	3
784	3	66	3
785	88	78	3
786	43	33	3
787	107	7	3
788	33	43	3
789	15	7	3
790	71	7	3
791	15	7	3
792	9	31	3
793	30	20	10
794	3	14	3
795	8	122	3
796	17	25	3
797	27	37	3
798	3	13	3
799	52	42	3
800	26	44	3
801	63	3	3
802	36	8	3
803	39	45	3
804	15	25	5
805	8	49	3
806	54	44	3
807	56	46	3
808	8	16	3
809	14	8	3
810	7	28	3
811	64	74	33
812	35	47	7
813	32	55	3
814	54	64	24
815	80	90	3
816	91	83	3
817	30	19	3
818	8	16	3
819	3	13	3
820	7	13	3
821	105	39	29
822	7	17	3
823	43	39	3
824	13	3	3
825	3	48	3
826	29	21	11
827	28	32	3
828	35	27	3
829	51	8	3
830	52	46	3
831	3	50	3
832	3	48	3
833	25	17	7
834	22	32	3
835	51	44	3
836	35	45	3
837	60	42	3
838	38	8	3
839	106	71	42
840	14	7	3
841	17	9	3
842	64	8	3
843	95	32	22
844	18	8	3
845	7	15	3
846	3	13	3
847	16	7	3
848	14	7	3
849	28	18	10
850	47	37	8
851	49	3	3
852	20	30	3
853	39	29	3
854	22	32	3
855	12	22	3
856	7	15	3
857	45	49	3
858	17	25	3
859	164	23	15
860	39	45	3
861	34	24	30
862	45	51	3
863	25	15	7
864	36	27	3
865	80	88	3
866	23	33	3
867	40	3	30
868	83	93	3
869	38	48	7
870	13	3	3
871	46	29	36
